BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT,YEAR,QUARTER
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3395700.58,1197741.68,2021,3
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,13638.68,4980.61,2021,3
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,38630.68,9709.44,2021,3
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,19378.41,5900.8,2021,3
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,88531.93,40814.8,2021,3
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,79880.97,24769.6,2021,3
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,75056.07,26742.7,2021,3
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,3710817.32,1310659.63,2021,3
,2021 OFFICE OF THE MINORITY LEADER,REPUBLICAN POLICY COMMITTEE,PERSONNEL COMPENSATION,54433.33,18750,2021,3
,2021 OFFICE OF THE MINORITY LEADER,REPUBLICAN POLICY COMMITTEE,REPUBLICAN POLICY COMMITTEE TOTALS:,54433.33,18750,2021,3
,2021 OFFICE OF THE MINORITY LEADER,REPUBLICAN POLICY COMMITTEE,OFFICE TOTALS:,3765250.65,1329409.63,2021,3
,2021 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,56033.34,8333.33,2021,3
,2021 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,56033.34,8333.33,2021,3
,2021 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,OFFICE TOTALS:,56033.34,8333.33,2021,3
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1232154.29,406573.63,2021,3
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,12084.27,4719.4,2021,3
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1230.5,975.1,2021,3
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,55489.94,31294.94,2021,3
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,47755.28,27685.51,2021,3
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,24105.83,7456.76,2021,3
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1372820.11,478705.34,2021,3
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,1372820.11,478705.34,2021,3
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,FRANKED MAIL,186.15,0,2021,3
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1400051.16,480692.62,2021,3
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,11377.14,603.79,2021,3
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,31496.01,11874.19,2021,3
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,6607.28,3125.2,2021,3
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,75021.08,22642.56,2021,3
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,14849.45,2634.56,2021,3
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,4075.29,1121.29,2021,3
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1543663.56,522694.21,2021,3
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,1543663.56,522694.21,2021,3
,2021 OFFICE OF THE MINORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4166.65,3799.98,2021,3
,2021 OFFICE OF THE MINORITY WHIP,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,4166.65,3799.98,2021,3
,2021 OFFICE OF THE MINORITY WHIP,INTERN ALLOWANCES,OFFICE TOTALS:,4166.65,3799.98,2021,3
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1192084.25,419673.65,2021,3
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,8101.07,2061.26,2021,3
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,74395.75,12364.6,2021,3
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,683.8,0,2021,3
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OTHER SERVICES,60706.32,417.33,2021,3
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,162212.74,49337.46,2021,3
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,EQUIPMENT,43660.11,13650.65,2021,3
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1541844.04,497504.95,2021,3
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OFFICE TOTALS:,1541844.04,497504.95,2021,3
,2021 DEMOCRATIC CAUCUS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,23042.86,10969.4,2021,3
,2021 DEMOCRATIC CAUCUS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,23042.86,10969.4,2021,3
,2021 DEMOCRATIC CAUCUS,INTERN ALLOWANCES,OFFICE TOTALS:,23042.86,10969.4,2021,3
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1141051.87,365186.94,2021,3
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,TRAVEL,32,32,2021,3
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,42000.97,15081.32,2021,3
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,10253.5,9915.5,2021,3
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OTHER SERVICES,13810.04,6919.39,2021,3
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,51143.86,22641.62,2021,3
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,EQUIPMENT,33974.41,16871.96,2021,3
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1292266.65,436648.73,2021,3
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OFFICE TOTALS:,1292266.65,436648.73,2021,3
,2021 REPUBLICAN CONFERENCE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4053.33,1833.33,2021,3
,2021 REPUBLICAN CONFERENCE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,4053.33,1833.33,2021,3
,2021 REPUBLICAN CONFERENCE,INTERN ALLOWANCES,OFFICE TOTALS:,4053.33,1833.33,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,76669759.41,19875017.68,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,76669759.41,19875017.68,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRAVEL,46464.62,27925.23,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRANSPORTATION OF THINGS,3980.39,3949.81,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,957283.16,269490.32,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,PRINTING AND REPRODUCTION,21003.33,11531.85,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,OTHER SERVICES,1743047.96,816613.21,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,SUPPLIES AND MATERIALS,1162187.3,250798.8,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,EQUIPMENT,964189.41,393177.12,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,ADMIN AND OPS TOTALS:,4898156.17,1773486.34,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CHILD CARE CENTER TRAINING,OTHER SERVICES,34387.54,10243.25,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CHILD CARE CENTER TRAINING,EQUIPMENT,750,0,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CHILD CARE CENTER TRAINING,CHILD CARE CENTER TRAINING TOTALS:,35137.54,10243.25,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,RENT  COMMUNICATION  UTILITIES,579.23,19.4,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,OTHER SERVICES,1539926.28,513308.76,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,EQUIPMENT,75891.93,30206.88,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,LIBRARY OF CONGRESS MAILREIMB TOTALS:,1616397.44,543535.04,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,RENT  COMMUNICATION  UTILITIES,5713.09,2088.09,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,OTHER SERVICES,423749.1,115661.85,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,EQUIPMENT,27003.93,6779.76,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,AOC MAIL IPAC TOTALS:,456466.12,124529.7,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,TRAVEL,1650.97,1650.97,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,OTHER SERVICES,11448.6,1899.35,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,SUPPLIES AND MATERIALS,3689.71,1565.35,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,CAO SAFETY PROGRAM TOTALS:,16789.28,5115.67,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,TRAVEL,4124.46,4124.46,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,RENT  COMMUNICATION  UTILITIES,1090.56,845,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,PRINTING AND REPRODUCTION,258,258,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,OTHER SERVICES,192671.25,129190.1,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,SUPPLIES AND MATERIALS,8779.8,5386.3,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,EQUIPMENT,35209.93,3645,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,CONGRESSIONAL STAFF ACADEMY TOTALS:,242134,143448.86,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,OTHER SERVICES,794385.84,342764.76,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,SUPPLIES AND MATERIALS,3022.44,1356.44,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,EQUIPMENT,40667.4,8600,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,WEB SOLUTIONS TOTALS:,838075.68,352721.2,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,OTHER SERVICES,579582.23,248693.98,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,SUPPLIES AND MATERIALS,1035.07,414.02,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,EQUIPMENT,523493.7,196439.48,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,PEOPLESOFT FINANCIALS TOTALS:,1104111,445547.48,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,OTHER SERVICES,48170.21,48170.21,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,SUPPLIES AND MATERIALS,316.94,316.94,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,EQUIPMENT,266082.41,8877.47,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,REMEDY/CTS ACTIVITY TOTALS:,314569.56,57364.62,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,OTHER SERVICES,187929.78,7580.94,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,SUPPLIES AND MATERIALS,40088.47,10806,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,EQUIPMENT,745650.11,207251.14,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,ENTERPRISE TECHNOLOGY SYSTEMS TOTALS:,973668.36,225638.08,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CAO SEAT MANAGEMENT,OTHER SERVICES,13969.32,13969.32,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CAO SEAT MANAGEMENT,SUPPLIES AND MATERIALS,250.59,0,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CAO SEAT MANAGEMENT,EQUIPMENT,19743.06,0,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CAO SEAT MANAGEMENT,CAO SEAT MANAGEMENT TOTALS:,33962.97,13969.32,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,OTHER SERVICES,51568.07,51568.07,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,SUPPLIES AND MATERIALS,886269,0,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,SUBSCRIPTIONS TOTALS:,937837.07,51568.07,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,RECEPTIONS,SUPPLIES AND MATERIALS,1182.18,982.95,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,RECEPTIONS,RECEPTIONS TOTALS:,1182.18,982.95,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,OTHER SERVICES,112763.8,109291.8,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,SUPPLIES AND MATERIALS,880.36,292.36,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,EQUIPMENT,1901806.51,677969.66,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,ENTERPRISE DATA STORAGE TOTALS:,2015450.67,787553.82,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,SUPPLIES AND MATERIALS,16934.4,0,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,EQUIPMENT,248629.03,233894.63,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,ENTERPRISE INFRASTRUCTURE TECH TOTALS:,265563.43,233894.63,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,OTHER SERVICES,800589.35,16234.01,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,SUPPLIES AND MATERIALS,5113018.51,4804907.21,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,EQUIPMENT,6888.65,6888.65,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,ENTERPRISE LICENSES TOTALS:,5920496.51,4828029.87,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CAO PRIVACY PROGRAM,OTHER SERVICES,1000,1000,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CAO PRIVACY PROGRAM,CAO PRIVACY PROGRAM TOTALS:,1000,1000,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,OTHER SERVICES,50972.01,28011.33,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,EQUIPMENT,189933.15,85736.13,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,MODULAR FURNITURE TOTALS:,240905.16,113747.46,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,OTHER SERVICES,79615.5,1615.5,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,SUPPLIES AND MATERIALS,32146.49,9771.03,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,EQUIPMENT,19065.93,5505.91,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,ASSET OPERATIONS TOTALS:,130827.92,16892.44,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,IDENTITY ACCESS MANAGEMENT,EQUIPMENT,84005.46,84005.46,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,IDENTITY ACCESS MANAGEMENT,IDENTITY ACCESS MANAGEMENT TOTALS:,84005.46,84005.46,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,OTHER SERVICES,65258.5,0,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,SUPPLIES AND MATERIALS,146193.63,76923.15,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,EQUIPMENT,41656.49,11132.93,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,CABINET & FINISHING SERVICES TOTALS:,253108.62,88056.08,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,HRS FIELD HEARING,SUPPLIES AND MATERIALS,1140.64,1140.64,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,HRS FIELD HEARING,EQUIPMENT,4540.9,0,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,HRS FIELD HEARING,HRS FIELD HEARING TOTALS:,5681.54,1140.64,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,OTHER SERVICES,767736,0,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,TELEPHONE OPERATORS TOTALS:,767736,0,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CAO IT SERVICE MANAGEMENT,OTHER SERVICES,161429.86,53910,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,CAO IT SERVICE MANAGEMENT,CAO IT SERVICE MANAGEMENT TOTALS:,161429.86,53910,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,OTHER SERVICES,54852.76,54852.76,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,SUPPLIES AND MATERIALS,3391.52,0,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,EQUIPMENT,4689.98,0,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,SUPPORT SYSTEMS OPERATIONS TOTALS:,62934.26,54852.76,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,OTHER SERVICES,1513.94,1513.94,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,SUPPLIES AND MATERIALS,1007.06,38.96,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,EQUIPMENT,144308.45,125787.73,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,ENTERPRISE MOBILITY AND E-FAX TOTALS:,146829.45,127340.63,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,SUPPLIES AND MATERIALS,213785.64,7443,2021,3
,FISCAL YEAR 2021 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,EQUIPMENT,603105.28,130093.67,2021,3
